"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @vkookloop: look who’s having fun with tae’s stand <ed><U+00A0><U+00BD><ed><U+00B8><U+0086> https://t.co/eu20wSNBBF",FALSE,0,NA,2019-03-27 20:38:51,FALSE,NA,"1111004677099978752",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","liltuniverse",2892,TRUE,FALSE,NA,NA
"2","RT @dirtysope: sinners squad; posts memes to cope with the angst

me, does the same thing to cope with the reactions to the angst

salty cc…",FALSE,0,NA,2019-03-27 20:38:50,FALSE,NA,"1111004674361081858",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dirtysope",3,TRUE,FALSE,NA,NA
"3","hii u’ve never been to the beach:0 i wish i could take u its lots of fun nd it’s rlly relaxing:D i hope u have a… —… https://t.co/dgnvM6Ctgp",FALSE,0,NA,2019-03-27 20:38:49,TRUE,NA,"1111004669768318976",NA,"<a href=""https://curiouscat.me"" rel=""nofollow"">Curious Cat</a>","xiaolovs",0,FALSE,FALSE,NA,NA
"4","having some fun with snipping! stop by and say hi! 38/50 followers! @Reign_HQ 
https://t.co/D6r9DgsF9V",FALSE,0,NA,2019-03-27 20:38:48,FALSE,NA,"1111004667482300416",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","KingFuzzy5",0,FALSE,FALSE,NA,NA
"5","RT @camrygirlz: having a dad looks fun https://t.co/WYxFuRYwxZ",FALSE,0,NA,2019-03-27 20:38:46,FALSE,NA,"1111004657088950272",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","QQharris",23304,TRUE,FALSE,NA,NA
"6","RT @Rotshasa: If you aren't having the best day, remember the @BallinOutSuper community is funny and have good hearts.
Folks, they make you…",FALSE,0,NA,2019-03-27 20:38:45,FALSE,NA,"1111004654354128896",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","MilkTeaNoBoba",43,TRUE,FALSE,NA,NA
"7","RT @camrygirlz: having a dad looks fun https://t.co/WYxFuRYwxZ",FALSE,0,NA,2019-03-27 20:38:43,FALSE,NA,"1111004646804504577",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","clairegoghpaul",23304,TRUE,FALSE,NA,NA
"8","RT @PeteyPlastic: Moral of the story, I'm a bad bitch who gets all the lap dances and @novaruu_ was just having fun for the content. https:…",FALSE,0,NA,2019-03-27 20:38:43,FALSE,NA,"1111004644107390976",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PinataBoomBoom",1,TRUE,FALSE,NA,NA
"9","I find it funny how Walmart turned me away at the door for having a kitten in a carrier but every time I walk into… https://t.co/IM79EVdcRW",FALSE,0,NA,2019-03-27 20:38:40,TRUE,NA,"1111004630803234819",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hey_INeedMoney",0,FALSE,FALSE,NA,NA
"10","RT @modernmomese: What is it about toddlers that just know your having a hard day and decided to be on their worst behavior to make it even…",FALSE,0,NA,2019-03-27 20:38:33,FALSE,NA,"1111004602051252225",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Reed__Myylipss",5,TRUE,FALSE,NA,NA
"11","RT @camrygirlz: having a dad looks fun https://t.co/WYxFuRYwxZ",FALSE,0,NA,2019-03-27 20:38:33,FALSE,NA,"1111004601355038720",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hali1i",23304,TRUE,FALSE,NA,NA
