City,State,URL
,,http://www.city-data.com/city/Arden-Arcade-California.html
,,http://www.city-data.com/city/Arden-Hills-Minnesota.html
,,http://www.city-data.com/city/Ardmore-Oklahoma.html
,,http://www.city-data.com/city/Ardmore-Pennsylvania.html
,,http://www.city-data.com/city/Arivaca-Arizona.html
,,http://www.city-data.com/city/Arizona.html
,,http://www.city-data.com/city/Arizona.html?filter=ZAP
,,http://www.city-data.com/city/Arizona2.html
,,http://www.city-data.com/city/Arizona3.html
,,http://www.city-data.com/city/Arizona-City-Arizona.html
,,http://www.city-data.com/city/Arkadelphia-Arkansas.html
,,http://www.city-data.com/city/Arkansas.html
,,http://www.city-data.com/city/Arkansas.html?filter=ZAP
,,http://www.city-data.com/city/Arkansas2.html
,,http://www.city-data.com/city/Arkansas3.html
,,http://www.city-data.com/city/Arkansas-City-Kansas.html
,,http://www.city-data.com/city/Arlington-Heights-Illinois.html
,,http://www.city-data.com/city/Arlington-Heights-Pennsylvania.html
,,http://www.city-data.com/city/Arlington-Massachusetts.html
,,http://www.city-data.com/city/Arlington-Tennessee.html
,,http://www.city-data.com/city/Arlington-Texas.html
,,http://www.city-data.com/city/Arlington-Virginia.html
,,http://www.city-data.com/city/Arlington-Washington.html
,,http://www.city-data.com/city/Armuchee-Georgia.html
,,http://www.city-data.com/city/Arnold-Maryland.html
,,http://www.city-data.com/city/Arnold-Missouri.html
,,http://www.city-data.com/city/Arrowhead-California.html
,,http://www.city-data.com/city/Arroyo-Grande-California.html
,,http://www.city-data.com/city/Artesia-California.html
,,http://www.city-data.com/city/Artesia-New-Mexico.html
,,http://www.city-data.com/city/Artondale-Washington.html
,,http://www.city-data.com/city/Arvada-Colorado.html
,,http://www.city-data.com/city/Arvin-California.html
,,http://www.city-data.com/city/Asbury-Lake-Florida.html
,,http://www.city-data.com/city/Asbury-Park-New-Jersey.html
,,http://www.city-data.com/city/Ashburnham-Massachusetts.html
,,http://www.city-data.com/city/Ashburn-Virginia.html
,,http://www.city-data.com/city/Asheboro-North-Carolina.html
,,http://www.city-data.com/city/Asheville-North-Carolina.html
,,http://www.city-data.com/city/Ashland-California.html
,,http://www.city-data.com/city/Ashland-Kentucky.html
,,http://www.city-data.com/city/Ashland-Massachusetts.html
,,http://www.city-data.com/city/Ashland-New-Jersey.html
,,http://www.city-data.com/city/Ashland-Ohio.html
,,http://www.city-data.com/city/Ashland-Oregon.html
,,http://www.city-data.com/city/Ashland-Rural-Kentucky.html
,,http://www.city-data.com/city/Ashland-Virginia.html
